VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,09/27/2019 09:32:49 PM,09/27/2019 10:02:01 PM,1,4.53,1,N,43,211,1,20.5,0.5,0.5,4.86,0,0.3,29.16,2.5
2,09/27/2019 09:49:11 PM,09/27/2019 10:04:02 PM,1,1.63,1,N,113,186,2,10,0.5,0.5,0,0,0.3,13.8,2.5
1,09/27/2019 09:33:17 PM,09/27/2019 09:42:45 PM,1,1.5,1,N,237,143,2,8.5,3,0.5,0,0,0.3,12.3,2.5
1,09/27/2019 09:45:17 PM,09/27/2019 10:07:34 PM,1,4.7,1,N,143,145,1,18.5,3,0.5,3,0,0.3,25.3,2.5
1,09/27/2019 09:05:54 PM,09/27/2019 09:24:35 PM,1,1.8,1,N,164,48,2,12.5,3,0.5,0,0,0.3,16.3,2.5
1,09/27/2019 09:31:05 PM,09/27/2019 09:49:12 PM,1,2.8,1,N,100,236,1,14,3,0.5,3,0,0.3,20.8,2.5
2,09/27/2019 09:08:43 PM,09/27/2019 09:20:15 PM,1,2.64,1,N,107,141,1,10.5,0.5,0.5,2.86,0,0.3,17.16,2.5
2,09/27/2019 09:36:54 PM,09/27/2019 09:45:29 PM,1,1.29,1,N,237,163,1,7.5,0.5,0.5,2.26,0,0.3,13.56,2.5
1,09/27/2019 09:36:05 PM,09/27/2019 09:46:56 PM,1,1.7,1,N,237,140,1,9,3,0.5,2.55,0,0.3,15.35,2.5
1,09/27/2019 09:22:27 PM,09/27/2019 09:46:03 PM,1,2.6,1,N,230,262,1,16,3,0.5,3.96,0,0.3,23.76,2.5
1,09/27/2019 09:47:52 PM,09/27/2019 09:54:54 PM,1,0.9,1,N,262,236,1,6,3,0.5,1,0,0.3,10.8,2.5
1,09/27/2019 09:58:02 PM,09/27/2019 10:00:35 PM,1,0.4,1,N,236,236,1,3.5,3,0.5,2,0,0.3,9.3,2.5
1,09/27/2019 09:03:04 PM,09/27/2019 09:22:35 PM,1,1.4,1,Y,164,230,1,12.5,3,0.5,1,0,0.3,17.3,2.5
1,09/27/2019 09:37:44 PM,09/27/2019 09:44:40 PM,1,1,1,N,164,107,1,6,3,0.5,1.95,0,0.3,11.75,2.5
2,09/27/2019 09:24:01 PM,09/27/2019 09:38:52 PM,1,1.77,1,N,239,230,1,11,0.5,0.5,0.05,0,0.3,14.85,2.5
2,09/27/2019 09:58:35 PM,09/27/2019 10:10:01 PM,1,1.29,1,N,186,48,1,8.5,0.5,0.5,2.46,0,0.3,14.76,2.5
2,09/27/2019 09:03:53 PM,09/27/2019 09:08:22 PM,1,0.65,1,N,231,211,1,5,0.5,0.5,2,0,0.3,10.8,2.5
2,09/27/2019 09:17:40 PM,09/27/2019 09:33:50 PM,1,1.43,1,N,90,249,1,11,0.5,0.5,4.44,0,0.3,19.24,2.5
2,09/27/2019 09:41:18 PM,09/27/2019 09:50:42 PM,1,0.89,1,N,113,79,1,7,0.5,0.5,2,0,0.3,12.8,2.5
2,09/27/2019 09:54:08 PM,09/27/2019 10:08:14 PM,3,1.53,1,N,107,164,1,10.5,0.5,0.5,0,0,0.3,14.3,2.5
2,09/27/2019 09:41:42 PM,09/27/2019 09:46:52 PM,1,0.48,1,N,132,132,3,-5,-0.5,-0.5,0,0,-0.3,-6.3,0
2,09/27/2019 09:41:42 PM,09/27/2019 09:46:52 PM,1,0.48,1,N,132,132,2,5,0.5,0.5,0,0,0.3,6.3,0
2,09/27/2019 09:49:27 PM,09/27/2019 10:26:09 PM,1,25.79,1,N,132,181,1,68.5,0.5,0.5,13.96,0,0.3,83.76,0
1,09/27/2019 09:14:22 PM,09/27/2019 09:48:18 PM,2,4.7,1,N,249,263,1,22.5,3,0.5,0.01,0,0.3,26.31,2.5
1,09/27/2019 09:52:08 PM,09/27/2019 10:01:21 PM,2,1.8,1,N,263,43,1,8,3,0.5,2.35,0,0.3,14.15,2.5
1,09/27/2019 09:26:36 PM,09/27/2019 09:36:58 PM,1,1.2,1,N,230,142,2,8.5,3,0.5,0,0,0.3,12.3,2.5
1,09/27/2019 09:44:11 PM,09/27/2019 09:51:24 PM,1,1.1,1,N,48,68,2,6.5,3,0.5,0,0,0.3,10.3,2.5
2,09/27/2019 09:05:02 PM,09/27/2019 09:43:12 PM,2,10.73,1,N,48,189,1,35,0.5,0.5,11.23,6.12,0.3,56.15,2.5
2,09/27/2019 09:47:05 PM,09/27/2019 10:22:08 PM,1,20.16,1,N,132,213,2,54,0.5,0.5,0,6.12,0.3,61.42,0
2,09/27/2019 09:22:56 PM,09/27/2019 09:43:33 PM,1,1.48,1,N,163,186,2,13.5,0.5,0.5,0,0,0.3,17.3,2.5
2,09/27/2019 09:48:58 PM,09/27/2019 09:57:32 PM,1,1.64,1,N,90,231,1,7.5,0.5,0.5,1,0,0.3,12.3,2.5
2,09/27/2019 09:48:10 PM,09/27/2019 10:12:55 PM,1,4.32,1,N,186,263,1,19,0.5,0.5,4.56,0,0.3,27.36,2.5
2,09/27/2019 08:58:53 PM,09/27/2019 09:42:34 PM,1,19.4,2,N,132,4,1,52,0,0.5,8,6.12,0.3,69.42,2.5
2,09/27/2019 09:00:17 PM,09/27/2019 09:09:56 PM,1,1.5,1,N,33,97,1,8,0.5,0.5,1.86,0,0.3,11.16,0
2,09/27/2019 09:03:40 PM,09/27/2019 09:45:04 PM,1,8.31,1,N,45,91,2,31.5,0.5,0.5,0,0,0.3,35.3,2.5
1,09/27/2019 09:02:22 PM,09/27/2019 09:33:38 PM,0,5.1,1,N,66,225,1,22.5,0.5,0.5,4.28,0,0.3,28.08,0
1,09/27/2019 09:00:23 PM,09/27/2019 09:18:30 PM,1,3.2,1,N,239,233,1,14,3,0.5,3,0,0.3,20.8,2.5
1,09/27/2019 09:42:42 PM,09/27/2019 09:59:13 PM,1,1.7,1,N,100,158,1,11.5,3,0.5,1,0,0.3,16.3,2.5
2,09/27/2019 09:09:43 PM,09/27/2019 09:28:44 PM,1,2.79,1,N,158,170,2,14,0.5,0.5,0,0,0.3,17.8,2.5
2,09/27/2019 09:29:18 PM,09/27/2019 09:40:14 PM,1,1.56,1,N,170,107,1,9,0.5,0.5,2.56,0,0.3,15.36,2.5
2,09/27/2019 09:57:55 PM,09/27/2019 10:06:46 PM,1,1.12,1,N,114,90,1,7,0.5,0.5,1,0,0.3,11.8,2.5
2,09/27/2019 09:03:48 PM,09/27/2019 09:17:44 PM,1,1.8,1,N,125,186,1,10,0.5,0.5,2.76,0,0.3,16.56,2.5
1,09/27/2019 09:02:47 PM,09/27/2019 09:34:19 PM,1,2.7,1,N,237,68,1,19,3,0.5,0,0,0.3,22.8,2.5
1,09/27/2019 09:48:17 PM,09/27/2019 10:01:07 PM,1,2.1,1,N,90,231,1,10,3,0.5,2.75,0,0.3,16.55,2.5
2,09/27/2019 09:45:38 PM,09/27/2019 09:56:20 PM,1,1.56,1,N,186,233,1,8.5,0.5,0.5,2.46,0,0.3,14.76,2.5
2,09/27/2019 09:10:38 PM,09/27/2019 09:37:07 PM,1,5.52,1,N,261,186,2,22,0.5,0.5,0,0,0.3,25.8,2.5
2,09/27/2019 09:51:24 PM,09/27/2019 10:09:47 PM,1,6.76,1,N,48,244,1,21.5,0.5,0.5,5.06,0,0.3,30.36,2.5
2,09/27/2019 09:05:19 PM,09/27/2019 09:18:02 PM,1,1.44,1,N,114,90,1,9.5,0.5,0.5,2.66,0,0.3,15.96,2.5
1,09/27/2019 09:07:09 PM,09/27/2019 09:09:41 PM,1,0,1,N,239,238,1,4,3,0.5,0.78,0,0.3,8.58,2.5
1,09/27/2019 09:21:06 PM,09/27/2019 09:31:39 PM,1,0,1,N,48,230,2,8,3,0.5,0,0,0.3,11.8,2.5
1,09/27/2019 09:41:20 PM,09/27/2019 10:00:26 PM,1,0,1,N,161,179,1,17.5,3,0.5,2.5,0,0.3,23.8,2.5
2,09/27/2019 09:52:33 PM,09/27/2019 10:04:14 PM,1,1.91,1,N,125,87,2,9.5,0.5,0.5,0,0,0.3,13.3,2.5
2,09/27/2019 09:02:40 PM,09/27/2019 09:13:43 PM,1,1.97,1,N,161,141,1,9.5,0.5,0.5,0,0,0.3,13.3,2.5
2,09/27/2019 09:46:24 PM,09/27/2019 09:53:43 PM,1,0.74,1,N,162,170,1,6,0.5,0.5,1.96,0,0.3,11.76,2.5
2,09/27/2019 09:55:56 PM,09/27/2019 10:01:31 PM,2,0.62,1,N,170,162,1,5.5,0.5,0.5,1.86,0,0.3,11.16,2.5
1,09/27/2019 09:03:30 PM,09/27/2019 09:16:14 PM,2,2,1,N,68,170,1,10.5,3,0.5,2.85,0,0.3,17.15,2.5
1,09/27/2019 09:22:56 PM,09/27/2019 09:27:58 PM,1,0.8,1,N,161,170,1,5.5,3,0.5,1.85,0,0.3,11.15,2.5
1,09/27/2019 09:47:21 PM,09/27/2019 10:00:01 PM,1,1.8,1,N,90,137,1,9.5,3,0.5,1,0,0.3,14.3,2.5
1,09/27/2019 09:33:30 PM,09/27/2019 09:40:03 PM,2,2.3,1,N,236,74,2,8.5,3,0.5,0,0,0.3,12.3,2.5
2,09/27/2019 09:10:24 PM,09/27/2019 09:32:26 PM,1,3.05,1,N,170,236,1,15.5,0.5,0.5,5.79,0,0.3,25.09,2.5
2,09/27/2019 09:46:44 PM,09/27/2019 09:59:03 PM,1,1.35,1,N,237,229,1,9.5,0.5,0.5,5,0,0.3,18.3,2.5
1,09/27/2019 09:00:25 PM,09/27/2019 09:11:36 PM,1,1.3,1,N,161,100,1,8.5,3,0.5,2.45,0,0.3,14.75,2.5
1,09/27/2019 09:20:35 PM,09/27/2019 09:26:03 PM,1,0.6,1,N,90,158,1,5.5,3,0.5,0,0,0.3,9.3,2.5
1,09/27/2019 09:50:23 PM,09/27/2019 09:57:23 PM,2,1.2,1,N,230,107,2,6.5,3,0.5,0,0,0.3,10.3,2.5
1,09/27/2019 09:04:30 PM,09/27/2019 09:04:56 PM,2,0,5,N,261,261,1,80,0,0,10,0,0.3,90.3,0
2,09/27/2019 09:13:00 PM,09/27/2019 09:22:07 PM,1,1.32,1,N,233,229,1,7.5,0.5,0.5,2.26,0,0.3,13.56,2.5
2,09/27/2019 09:23:39 PM,09/27/2019 09:34:02 PM,1,2.06,1,N,229,43,1,9.5,0.5,0.5,1,0,0.3,14.3,2.5
2,09/27/2019 09:51:56 PM,09/27/2019 10:15:02 PM,1,5.96,1,N,237,82,1,21.5,0.5,0.5,2,0,0.3,27.3,2.5
2,09/27/2019 09:04:33 PM,09/27/2019 09:54:20 PM,1,18.49,2,N,132,230,1,52,0,0.5,12.28,6.12,0.3,73.7,2.5
2,09/27/2019 09:40:46 PM,09/27/2019 09:55:12 PM,1,3.57,1,N,79,140,2,13,0.5,0.5,0,0,0.3,16.8,2.5
2,09/27/2019 09:11:22 PM,09/27/2019 09:42:20 PM,1,4.42,1,N,164,256,1,22,0.5,0.5,3,0,0.3,28.8,2.5
2,09/27/2019 09:17:30 PM,09/27/2019 09:44:14 PM,3,11.63,1,N,138,209,1,35,0.5,0.5,8.98,6.12,0.3,53.9,2.5
1,09/27/2019 09:08:08 PM,09/27/2019 09:19:35 PM,0,5.1,1,N,132,130,2,16,0.5,0.5,0,0,0.3,17.3,0
1,09/27/2019 09:31:37 PM,09/27/2019 09:50:31 PM,2,7.5,2,N,223,142,3,52,2.5,0.5,0,6.12,0.3,61.42,2.5
2,09/27/2019 09:02:01 PM,09/27/2019 09:06:24 PM,3,0.99,1,N,181,257,1,5,0.5,0.5,1.7,0,0.3,8,0
2,09/27/2019 09:42:40 PM,09/27/2019 09:50:56 PM,3,0.9,1,N,114,234,1,6.5,0.5,0.5,0,0,0.3,10.3,2.5
2,09/27/2019 09:18:39 PM,09/27/2019 09:33:47 PM,1,2.04,1,N,236,239,1,11.5,0.5,0.5,3.82,0,0.3,19.12,2.5
2,09/27/2019 09:44:07 PM,09/27/2019 09:46:01 PM,1,0.38,1,N,239,239,1,3.5,0.5,0.5,2.19,0,0.3,9.49,2.5
2,09/27/2019 09:50:47 PM,09/27/2019 10:05:30 PM,1,2.78,1,N,143,186,2,12,0.5,0.5,0,0,0.3,15.8,2.5
2,09/27/2019 09:31:38 PM,09/27/2019 09:37:16 PM,4,0.83,1,N,237,140,1,5.5,0.5,0.5,1,0,0.3,10.3,2.5
2,09/27/2019 09:39:07 PM,09/27/2019 09:43:34 PM,4,1.06,1,N,141,140,1,5.5,0.5,0.5,1.86,0,0.3,11.16,2.5
2,09/27/2019 09:50:35 PM,09/27/2019 10:03:26 PM,4,2.1,1,N,263,233,1,10,0.5,0.5,3.45,0,0.3,17.25,2.5
2,09/27/2019 09:27:20 PM,09/27/2019 09:41:55 PM,1,1.52,1,N,158,107,1,10,0.5,0.5,2.76,0,0.3,16.56,2.5
1,09/27/2019 09:03:51 PM,09/27/2019 09:18:38 PM,1,3.2,1,N,162,75,1,13,3,0.5,2.52,0,0.3,19.32,2.5
1,09/27/2019 09:22:59 PM,09/27/2019 09:26:55 PM,1,0.5,1,N,75,236,1,4.5,3,0.5,1.65,0,0.3,9.95,2.5
1,09/27/2019 09:30:36 PM,09/27/2019 09:33:56 PM,0,0.4,1,N,236,263,2,4,3,0.5,0,0,0.3,7.8,2.5
1,09/27/2019 09:45:54 PM,09/27/2019 09:57:24 PM,1,1.5,1,N,237,143,1,9,3,0.5,1.3,0,0.3,14.1,2.5
2,09/27/2019 09:25:19 PM,09/27/2019 09:31:29 PM,1,3.28,1,N,132,219,2,11.5,0.5,0.5,0,0,0.3,12.8,0
2,09/27/2019 09:32:54 PM,09/27/2019 10:01:09 PM,1,13.88,2,N,10,137,1,52,0,0.5,7.5,6.12,0.3,68.92,2.5
2,09/27/2019 09:05:39 PM,09/27/2019 09:20:34 PM,1,3.32,1,N,163,75,1,13,0.5,0.5,2,0,0.3,18.8,2.5
2,09/27/2019 09:59:05 PM,09/27/2019 10:07:42 PM,1,2.48,1,N,263,74,1,9.5,0.5,0.5,2.66,0,0.3,15.96,2.5
2,09/27/2019 09:33:23 PM,09/27/2019 09:44:28 PM,2,2.5,1,N,79,229,1,10.5,0.5,0.5,2.86,0,0.3,17.16,2.5
2,09/27/2019 09:49:10 PM,09/27/2019 09:54:10 PM,2,0.69,1,N,262,262,1,5.5,0.5,0.5,1.86,0,0.3,11.16,2.5
2,09/27/2019 09:01:29 PM,09/27/2019 09:23:34 PM,1,5.67,1,N,249,151,1,21,0.5,0.5,6.2,0,0.3,31,2.5
2,09/27/2019 09:28:02 PM,09/27/2019 09:51:40 PM,1,6.36,1,N,238,114,1,22.5,0.5,0.5,1,0,0.3,27.3,2.5
1,09/27/2019 09:03:09 PM,09/27/2019 09:17:02 PM,1,3.5,1,N,48,231,1,13.5,3,0.5,3.45,0,0.3,20.75,2.5
1,09/27/2019 09:24:44 PM,09/27/2019 09:51:49 PM,1,10,1,N,264,243,1,31.5,3,0.5,3,0,0.3,38.3,2.5
1,09/27/2019 09:59:09 PM,09/27/2019 10:11:51 PM,1,4.7,1,N,244,74,1,15.5,0.5,0.5,2,0,0.3,18.8,0
1,09/27/2019 09:26:12 PM,09/27/2019 09:35:38 PM,1,1.5,1,N,79,107,1,8,3,0.5,1.18,0,0.3,12.98,2.5
